borrowerstate,adoption_rate_x,businesstype,adoption_rate_y
OR,0.19985353707952935,"501(c) ¿ Non Profit except 3,4,6,19",0.14285714285714285
OR,0.19985353707952935,501(c)19 ¿ Non Profit Veterans,0.26031746031746034
OR,0.19985353707952935,501(c)3 ¿ Non Profit,0.23292788047121923
OR,0.19985353707952935,501(c)6 ¿ Non Profit Membership,0.2139049311417148
OR,0.19985353707952935,Cooperative,0.25168035847647496
OR,0.19985353707952935,Corporation,0.24123045440235072
OR,0.19985353707952935,Employee Stock Ownership Plan(ESOP),0.19264069264069264
OR,0.19985353707952935,Independent Contractors,0.2340584714548803
OR,0.19985353707952935,Joint Venture,0.21835231078365708
OR,0.19985353707952935,Limited  Liability Company(LLC),0.21897257916502458
OR,0.19985353707952935,Limited Liability Partnership,0.22885657379050392
OR,0.19985353707952935,Non-Profit Childcare Center,0.22110888443553775
OR,0.19985353707952935,Non-Profit Organization,0.2231429630239644
OR,0.19985353707952935,Partnership,0.22952539899863086
OR,0.19985353707952935,Professional Association,0.22719674174037263
OR,0.19985353707952935,Qualified Joint-Venture (spouses),0.21711711711711712
OR,0.19985353707952935,Self-Employed Individuals,0.22844767536136557
OR,0.19985353707952935,Single Member LLC,0.21448708023546253
OR,0.19985353707952935,Sole Proprietorship,0.22882533058053223
OR,0.19985353707952935,Subchapter S Corporation,0.23394023148945217
OR,0.19985353707952935,Tenant in Common,0.2523961661341853
OR,0.19985353707952935,Trust,0.24376470588235294
OR,0.19985353707952935,Housing Co-op,0.3089622641509434
OR,0.19985353707952935,Rollover as Business Start-Ups (ROB,0.21621621621621623
OR,0.19985353707952935,Tribal Concerns,0.1774193548387097
PA,0.20036921983388398,"501(c) ¿ Non Profit except 3,4,6,19",0.14285714285714285
PA,0.20036921983388398,501(c)19 ¿ Non Profit Veterans,0.26031746031746034
PA,0.20036921983388398,501(c)3 ¿ Non Profit,0.23292788047121923
PA,0.20036921983388398,501(c)6 ¿ Non Profit Membership,0.2139049311417148
PA,0.20036921983388398,Cooperative,0.25168035847647496
PA,0.20036921983388398,Corporation,0.24123045440235072
PA,0.20036921983388398,Employee Stock Ownership Plan(ESOP),0.19264069264069264
PA,0.20036921983388398,Independent Contractors,0.2340584714548803
PA,0.20036921983388398,Joint Venture,0.21835231078365708
PA,0.20036921983388398,Limited  Liability Company(LLC),0.21897257916502458
PA,0.20036921983388398,Limited Liability Partnership,0.22885657379050392
PA,0.20036921983388398,Non-Profit Childcare Center,0.22110888443553775
PA,0.20036921983388398,Non-Profit Organization,0.2231429630239644
PA,0.20036921983388398,Partnership,0.22952539899863086
PA,0.20036921983388398,Professional Association,0.22719674174037263
PA,0.20036921983388398,Qualified Joint-Venture (spouses),0.21711711711711712
PA,0.20036921983388398,Self-Employed Individuals,0.22844767536136557
PA,0.20036921983388398,Single Member LLC,0.21448708023546253
PA,0.20036921983388398,Sole Proprietorship,0.22882533058053223
PA,0.20036921983388398,Subchapter S Corporation,0.23394023148945217
PA,0.20036921983388398,Tenant in Common,0.2523961661341853
PA,0.20036921983388398,Trust,0.24376470588235294
PA,0.20036921983388398,Housing Co-op,0.3089622641509434
PA,0.20036921983388398,Rollover as Business Start-Ups (ROB,0.21621621621621623
PA,0.20036921983388398,Tribal Concerns,0.1774193548387097
PR,0.19960148106291542,"501(c) ¿ Non Profit except 3,4,6,19",0.14285714285714285
PR,0.19960148106291542,501(c)19 ¿ Non Profit Veterans,0.26031746031746034
PR,0.19960148106291542,501(c)3 ¿ Non Profit,0.23292788047121923
PR,0.19960148106291542,501(c)6 ¿ Non Profit Membership,0.2139049311417148
PR,0.19960148106291542,Cooperative,0.25168035847647496
PR,0.19960148106291542,Corporation,0.24123045440235072
PR,0.19960148106291542,Employee Stock Ownership Plan(ESOP),0.19264069264069264
PR,0.19960148106291542,Independent Contractors,0.2340584714548803
PR,0.19960148106291542,Joint Venture,0.21835231078365708
PR,0.19960148106291542,Limited  Liability Company(LLC),0.21897257916502458
PR,0.19960148106291542,Limited Liability Partnership,0.22885657379050392
PR,0.19960148106291542,Non-Profit Childcare Center,0.22110888443553775
PR,0.19960148106291542,Non-Profit Organization,0.2231429630239644
PR,0.19960148106291542,Partnership,0.22952539899863086
PR,0.19960148106291542,Professional Association,0.22719674174037263
PR,0.19960148106291542,Qualified Joint-Venture (spouses),0.21711711711711712
PR,0.19960148106291542,Self-Employed Individuals,0.22844767536136557
PR,0.19960148106291542,Single Member LLC,0.21448708023546253
PR,0.19960148106291542,Sole Proprietorship,0.22882533058053223
PR,0.19960148106291542,Subchapter S Corporation,0.23394023148945217
PR,0.19960148106291542,Tenant in Common,0.2523961661341853
PR,0.19960148106291542,Trust,0.24376470588235294
PR,0.19960148106291542,Housing Co-op,0.3089622641509434
PR,0.19960148106291542,Rollover as Business Start-Ups (ROB,0.21621621621621623
PR,0.19960148106291542,Tribal Concerns,0.1774193548387097
RI,0.20134608336387566,"501(c) ¿ Non Profit except 3,4,6,19",0.14285714285714285
RI,0.20134608336387566,501(c)19 ¿ Non Profit Veterans,0.26031746031746034
RI,0.20134608336387566,501(c)3 ¿ Non Profit,0.23292788047121923
RI,0.20134608336387566,501(c)6 ¿ Non Profit Membership,0.2139049311417148
RI,0.20134608336387566,Cooperative,0.25168035847647496
RI,0.20134608336387566,Corporation,0.24123045440235072
RI,0.20134608336387566,Employee Stock Ownership Plan(ESOP),0.19264069264069264
RI,0.20134608336387566,Independent Contractors,0.2340584714548803
RI,0.20134608336387566,Joint Venture,0.21835231078365708
RI,0.20134608336387566,Limited  Liability Company(LLC),0.21897257916502458
RI,0.20134608336387566,Limited Liability Partnership,0.22885657379050392
RI,0.20134608336387566,Non-Profit Childcare Center,0.22110888443553775
RI,0.20134608336387566,Non-Profit Organization,0.2231429630239644
RI,0.20134608336387566,Partnership,0.22952539899863086
RI,0.20134608336387566,Professional Association,0.22719674174037263
RI,0.20134608336387566,Qualified Joint-Venture (spouses),0.21711711711711712
RI,0.20134608336387566,Self-Employed Individuals,0.22844767536136557
RI,0.20134608336387566,Single Member LLC,0.21448708023546253
RI,0.20134608336387566,Sole Proprietorship,0.22882533058053223
RI,0.20134608336387566,Subchapter S Corporation,0.23394023148945217
RI,0.20134608336387566,Tenant in Common,0.2523961661341853
RI,0.20134608336387566,Trust,0.24376470588235294
RI,0.20134608336387566,Housing Co-op,0.3089622641509434
RI,0.20134608336387566,Rollover as Business Start-Ups (ROB,0.21621621621621623
RI,0.20134608336387566,Tribal Concerns,0.1774193548387097
SC,0.19936189281233196,"501(c) ¿ Non Profit except 3,4,6,19",0.14285714285714285
SC,0.19936189281233196,501(c)19 ¿ Non Profit Veterans,0.26031746031746034
SC,0.19936189281233196,501(c)3 ¿ Non Profit,0.23292788047121923
SC,0.19936189281233196,501(c)6 ¿ Non Profit Membership,0.2139049311417148
